ID,Brand,Tipe,CPU,RAM,Memori,GPU,SistemOperasi,Berat,Layar,Harga
453,Vivid,Notebook,AMD E-Series 7110 1.8GHz,4GB,500GB HDD,AMD Radeon R2 Graphics,Gemini 5,1.86kg,15.6inch 1366x768,5088204.0
454,Stellar,Notebook,Intel Core i3 6006U 2GHz,4GB,1TB HDD,Nvidia GeForce 920MX,Gemini 5,2kg,17.3inch Full HD 1920x1080,9662448.0
455,Zenith,Notebook,Intel Celeron Dual Core N3350 2GHz,4GB,1TB HDD,Intel HD Graphics 500,Penguin OS,2.1kg,15.6inch 1366x768,4659904.0
456,Eclipse,Ultrabook,Intel Core i7 7560U 2.4GHz,8GB,256GB SSD,Intel Iris Plus Graphics 640,Gemini 5,1.23kg,13.3inch Full HD 1920x1080,23625028.0
457,Traverse,Notebook,Intel Core i7 6500U 2.5GHz,16GB,512GB SSD,Nvidia GeForce 930M,Gemini 5,2.4kg,15.6inch IPS Panel Full HD 1920x1080,24036196.0
458,Eclipse,Notebook,Intel Core i7 7700HQ 2.8GHz,16GB,512GB SSD,Nvidia GeForce GTX 1050,Gemini 5,2.06kg,15.6inch 4K Ultra HD / Touchscreen 3840x2160,34733759.44
459,Eclipse,Notebook,,6GB,1TB HDD,Intel HD Graphics 620,Gemini 5,2.3kg,15.6inch 1366x768,7863588.0
460,Vivid,Notebook,Intel Core i7 7500U 2.7GHz,8GB,256GB SSD,Intel HD Graphics 620,Gemini 5,1.49kg,13.3inch Full HD 1920x1080,18673880.0
461,Zenith,Notebook,Intel Core i5 7200U 2.5GHz,8GB,256GB SSD,Intel HD Graphics 620,Gemini 5,1.56kg,14.0inch IPS Panel Full HD 1920x1080,15453064.0
462,Pulse,Notebook,AMD A10-Series 9600P 2.4GHz,6GB,1TB HDD,AMD Radeon R5 430,Gemini 5,2.4kg,15.6inch Full HD 1920x1080,8548868.0
463,Pulse,Notebook,Intel Celeron Dual Core N3350 1.1GHz,4GB,1TB HDD,Intel HD Graphics 500,No OS,2.2kg,15.6inch 1366x768,5516332.68
464,Galaxy,Gaming,Intel Core i7 6820HK 2.7GHz,16GB,256GB SSD +  1TB HDD,Nvidia GeForce GTX 980M,Gemini 5,3.78kg,17.3inch IPS Panel Full HD 1920x1080,26479904.48
465,Pulse,Ultrabook,Intel Core i5 6200U 2.3GHz,4GB,180GB SSD,Intel HD Graphics 520,Gemini 5,1.7kg,14.0inch Full HD 1920x1080,18776672.0
466,Vivid,Notebook,Intel Core i7 7500U 2.7GHz,8GB,1TB HDD,,Gemini 5,2.04kg,15.6inch Full HD 1920x1080,15418800.0
467,Stellar,Notebook,Intel Core i5 7200U 2.5GHz,8GB,1TB HDD,Intel HD Graphics 620,Gemini 5,2.37kg,15.6inch Full HD 1920x1080,12831868.0
468,Zenith,Notebook,Intel Core i3 7130U 2.7GHz,4GB,256GB SSD,Nvidia GeForce MX130,Gemini 5,3kg,17.3inch IPS Panel Full HD 1920x1080,12026664.0
469,Pulse,Notebook,Intel Core i3 6006U 2GHz,8GB,2TB HDD,Nvidia GeForce 920MX ,No OS,2.2kg,15.6inch 1366x768,7863588.0
470,Eclipse,Notebook,Intel Core i3 6006U 2GHz,4GB,1TB HDD,AMD Radeon R5 M430,Gemini 5,2.2kg,15.6inch 1366x768,9348418.44
471,Pulse,Ultrabook,Intel Core i7 7700HQ 2.8GHz,8GB,256GB SSD,Nvidia GeForce GT 940MX,Gemini 5,1.96kg,14.0inch IPS Panel Full HD 1920x1080,32602196.0
472,Pulse,Notebook,Intel Core i5 6200U 2.3GHz,8GB,256GB SSD,Intel HD Graphics 520,Gemini 5,2.3kg,15.6inch Full HD 1920x1080,17981747.2
473,Eclipse,Notebook,Intel Core i7 8550U 1.8GHz,8GB,512GB SSD,Nvidia GeForce 940MX,Gemini 5,2.16kg,15.6inch IPS Panel Full HD 1920x1080,21620584.0
474,Pulse,Gaming,Intel Core i7 6700HQ 2.6GHz,8GB,128GB SSD +  1TB HDD,Nvidia GeForce GTX 960,Gemini 5,3.31kg,15.6inch IPS Panel Full HD 1920x1080,20489872.0
475,Pulse,2 in 1 Convertible,Intel Core i7 7500U 2.7GHz,8GB,256GB SSD,Intel HD Graphics 620,,1.38kg,13.9inch IPS Panel Full HD / Touchscreen 1920x1080,18485428.0
476,Lumina,Ultrabook,Intel Core i7 7500U 2.7GHz,8GB,512GB SSD,Intel HD Graphics 620,Gemini 5,0.98kg,14.0inch IPS Panel Full HD / Touchscreen 1920x1080,32533668.0
477,Pulse,Notebook,Intel Core i5 7200U 2.5GHz,4GB,1TB HDD,,No OS,2.2kg,15.6inch Full HD 1920x1080,8548868.0
478,Vivid,Notebook,Intel Core i5 6200U 2.3GHz,,256GB SSD,Intel HD Graphics 520,Gemini 2,1.43kg,14.0inch Full HD 1920x1080,25166908.0
479,Vivid,Notebook,Intel Core i3 6100U 2.3GHz,4GB,500GB HDD,Intel HD Graphics 520,Gemini 5,2.31kg,15.6inch 1366x768,12080629.8
480,Pulse,Notebook,Intel Core i3 6006U 2GHz,4GB,500GB HDD,Intel HD Graphics 520,Gemini 5,2.2kg,15.6inch Full HD 1920x1080,7006988.0
481,Vivid,Notebook,Intel Core i3 7100U 2.4GHz,8GB,1TB HDD,Nvidia GeForce 930MX ,Gemini 5,2.1kg,15.6inch IPS Panel Full HD 1920x1080,12266512.0
482,Eclipse,Notebook,,4GB,128GB SSD,AMD Radeon R7 M440,Gemini 5,2.3kg,15.6inch 1366x768,8548868.0
483,Stellar,Ultrabook,Intel Core i7 7500U 2.7GHz,8GB,256GB SSD,Nvidia GeForce 940MX,Gemini 5,1.3kg,14.0inch IPS Panel Full HD 1920x1080,20438476.0
484,Eclipse,Notebook,Intel Core i7 8550U 1.8GHz,8GB,128GB SSD +  1TB HDD,Intel UHD Graphics 620,Gemini 5,2.02kg,15.6inch Full HD 1920x1080,14647860.0
485,Zenith,Notebook,Intel Core i3 6006U 2GHz,,1TB HDD,Intel HD Graphics 520,Gemini 5,2.1kg,14.0inch 1366x768,6664348.0
486,Vivid,Notebook,Intel Core i7 8550U 1.8GHz,16GB,512GB SSD,Nvidia GeForce 930MX ,Gemini 5,2.5kg,17.3inch Full HD 1920x1080,21774772.0
487,Pulse,Gaming,Intel Core i7 7700HQ 2.8GHz,8GB,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1060,Gemini 5,3.2kg,15.6inch IPS Panel Full HD 1920x1080,23967668.0
488,Vivid,,Intel Core i5 7200U 2.5GHz,4GB,256GB SSD,Intel HD Graphics 620,Gemini 5,1.48kg,14.0inch Full HD 1920x1080,27239880.0
489,Vivid,Notebook,Intel Core i5 7200U 2.5GHz,4GB,500GB HDD,Intel HD Graphics 620,Gemini 5,1.86kg,15.6inch 1366x768,8309020.0
490,Zenith,Notebook,Intel Core i5 7200U 2.5GHz,4GB,500GB HDD,Intel HD Graphics 620,Gemini 5,2.4kg,15.6inch 1366x768,9576788.0
491,Stellar,Notebook,Intel Core i5 7200U 2.5GHz,8GB,256GB SSD +  500GB HDD,Nvidia GeForce GTX 950M,Gemini 5,2.69kg,17.3inch Full HD 1920x1080,15264612.0
492,Vivid,Notebook,Intel Core i3 7100U 2.4GHz,4GB,500GB HDD,Intel HD Graphics 620,Gemini 5,2.1kg,15.6inch 1366x768,11452399.36
493,Eclipse,Notebook,Intel Core i3 6006U 2GHz,,1TB HDD,AMD Radeon R5 M420,Gemini 5,2.18kg,15.6inch 1366x768,10585862.8
494,Eclipse,Workstation,Intel Core i7 6820HQ 2.7GHz,16GB,256GB SSD,Nvidia Quadro M620,Gemini 5,2.17kg,15.6inch IPS Panel Full HD 1920x1080,33835700.0
495,Quantum,,Intel Core M 1.2GHz,8GB,512GB Flash Storage,Intel HD Graphics 5300,Orange OS X,0.920kg,12.0inch IPS Panel Retina Display 2304x1440,19958780.0
496,Vivid,Ultrabook,Intel Core i7 6500U 2.5GHz,8GB,512GB SSD,Intel HD Graphics 520,Gemini 2,1.54kg,14.0inch Full HD 1920x1080,32036840.0
497,Pulse,,Intel Core i7 7500U 2.7GHz,6GB,256GB SSD,Nvidia GeForce 940MX,Gemini 5,2.2kg,15.6inch Full HD 1920x1080,13517148.0
498,Pulse,Notebook,Intel Core i5 7200U 2.5GHz,4GB,500GB HDD,Intel HD Graphics 620,Gemini 5,2.38kg,15.6inch 1366x768,18074260.0
499,Pulse,Gaming,,16GB,128GB SSD +  1TB HDD,Nvidia GeForce GTX 960M,Gemini 5,2.6kg,15.6inch IPS Panel Full HD / Touchscreen 1920x1080,17628828.0
500,Eclipse,Notebook,Intel Celeron Dual Core N3060 1.60GHz,4GB,500GB HDD,,Gemini 5,1.8kg,15.6inch 1366x768,5293788.0
501,Stellar,Gaming,Intel Core i5 7300HQ 2.5GHz,8GB,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1060,Gemini 5,2.73kg,17.3inch IPS Panel Full HD 1920x1080,30323640.0
502,Stellar,Gaming,,8GB,1TB HDD,Nvidia GeForce GTX 1060,Gemini 5,2.2kg,15.6inch Full HD 1920x1080,20027308.0
503,Eclipse,Notebook,Intel Core i5 7300U 2.6GHz,8GB,256GB SSD,Intel HD Graphics 620,Gemini 5,1.36kg,14.0inch Full HD 1920x1080,24447364.0
504,Pulse,Notebook,Intel Core i7 8550U 1.8GHz,8GB,256GB SSD,AMD Radeon RX 550,Gemini 5,2.1kg,15.6inch IPS Panel Full HD 1920x1080,21064821.92
505,Vivid,Notebook,AMD E-Series E2-9000e 1.5GHz,4GB,500GB HDD,AMD Radeon R2,No OS,1.86kg,15.6inch 1366x768,4420056.0
506,Vivid,,Intel Pentium Dual Core 4405Y 1.5GHz,4GB,32GB Flash Storage,Intel HD Graphics 515,RamEater OS,1.29kg,13.3inch Quad HD+ 3200x1800,10536180.0
507,Eclipse,Workstation,,16GB,256GB SSD +  1TB HDD,,Gemini 5,2.8kg,15.6inch 4K Ultra HD 3840x2160,52338260.0
508,Pulse,2 in 1 Convertible,Intel Core i7 7500U 2.7GHz,16GB,1TB SSD,Intel HD Graphics 620,Gemini 5,1.42kg,14.0inch Touchscreen 2560x1440,48380768.0
509,Vivid,Notebook,Intel Core i5 7200U 2.5GHz,8GB,256GB SSD,Intel HD Graphics 620,No OS,1.86kg,15.6inch Full HD 1920x1080,9850900.0
510,Stellar,Ultrabook,Intel Core i7 8550U 1.8GHz,16GB,512GB SSD,Nvidia GeForce MX150,Gemini 5,1.3kg,14.0inch Full HD 1920x1080,25612340.0
511,Vivid,Notebook,Intel Core i3 7100U 2.4GHz,4GB,500GB HDD,Intel HD Graphics 620,Gemini 5,1.49kg,13.3inch 1366x768,13705600.0
512,Pulse,Notebook,Intel Core i3 6006U 2GHz,4GB,1TB HDD,,No OS,2.2kg,15.6inch Full HD 1920x1080,8206228.0
513,Eclipse,Notebook,Intel Core i5 7200U 2.5GHz,8GB,1TB HDD,AMD Radeon R7 M445,Penguin OS,2.32kg,15.6inch 1366x768,10099656.64
514,Zenith,Notebook,,4GB,128GB SSD,Intel HD Graphics 520,Penguin OS,2.1kg,15.6inch 1366x768,7058384.0
515,Pulse,Notebook,Intel Core i5 7200U 2.5GHz,8GB,256GB SSD,Intel HD Graphics 620,Gemini 5,2.3kg,15.6inch IPS Panel Full HD 1920x1080,15607252.0
516,Stellar,,Intel Core i7 7500U 2.7GHz,4GB,256GB SSD,Intel HD Graphics 620,Gemini 5,2.37kg,15.6inch 1366x768,14560486.8
517,Vivid,Notebook,Intel Core i5 8250U 1.6GHz,4GB,500GB HDD,Intel UHD Graphics 620,Gemini 5,1.63kg,14.0inch IPS Panel 1366x768,12369304.0
518,Vivid,Notebook,Intel Core i5 6200U 2.3GHz,4GB,500GB HDD,Intel HD Graphics 520,Gemini 2,1.88kg,15.6inch 1366x768,15967024.0
519,Eclipse,Notebook,Intel Core i5 7300U 2.6GHz,8GB,500GB HDD,Intel HD Graphics 620,Gemini 5,1.9kg,15.6inch 1366x768,17277964.64
520,Quasar,Gaming,Intel Core i7 7700HQ 2.8GHz,16GB,1TB SSD,Nvidia GeForce GTX 1060,Gemini 5,1.95kg,14.0inch Full HD 1920x1080,59944868.0
521,Eclipse,,Intel Core i7 6500U 2.5GHz,8GB,256GB SSD,Intel HD Graphics 520,Gemini 5,1.3kg,13.3inch Quad HD+ 3200x1800,21723376.0
522,Traverse,Ultrabook,,16GB,512GB SSD,Intel HD Graphics 520,Gemini 5,1.2kg,13.3inch Full HD 1920x1080,29929604.0
523,Zenith,Notebook,Intel Core i3 7130U 2.7GHz,4GB,256GB SSD,Nvidia GeForce MX130,Gemini 5,2.2kg,15.6inch Full HD 1920x1080,9799504.0
524,Stellar,2 in 1 Convertible,Intel Core i5 7200U 2.5GHz,8GB,256GB SSD,Intel HD Graphics 620,Gemini 5,1.1kg,13.3inch Touchscreen / Full HD 1920x1080,23265256.0
525,Pulse,Notebook,Intel Core i5 7200U 2.5GHz,8GB,256GB SSD,Intel HD Graphics 620,Gemini 5,2.2kg,15.6inch 1366x768,10227804.0
526,Pulse,Notebook,Intel Core i5 7200U 2.5GHz,8GB,256GB SSD,Nvidia GeForce 940MX,Gemini 5,1.5kg,14.0inch IPS Panel Full HD 1920x1080,18828068.0
527,Vivid,Notebook,Intel Core i5 7200U 2.5GHz,4GB,500GB HDD,Intel HD Graphics 620,Gemini 5,1.64kg,14.0inch 1366x768,13345828.0
528,Pulse,Notebook,Intel Celeron Dual Core N3050 1.6GHz,2GB,64GB Flash Storage,Intel HD Graphics,,1.5kg,14.0inch 1366x768,3923228.0
529,Stellar,Ultrabook,Intel Core i5 7200U 2.5GHz,8GB,256GB SSD,Intel HD Graphics 620,Gemini 5,1.1kg,14.0inch Full HD 1920x1080,19444820.0
530,Pulse,Notebook,Intel Core i7 7700HQ 2.8GHz,8GB,256GB SSD,Nvidia Quadro M620M,Gemini 5,3.4kg,17.3inch IPS Panel Full HD 1920x1080,51378868.0
531,Vivid,Gaming,Intel Core i7 7700HQ 2.8GHz,8GB,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1050,Gemini 5,3.35kg,17.3inch IPS Panel Full HD 1920x1080,20404212.0
532,Stellar,Notebook,,4GB,256GB SSD,Intel HD Graphics 620,Gemini 5,2kg,15.6inch 1366x768,10042607.08
533,Vivid,Notebook,AMD A9-Series 9410 2.9GHz,6GB,1.0TB Hybrid,AMD Radeon R7 M440,Gemini 5,2.04kg,15.6inch Full HD 1920x1080,9422428.68
534,Galaxy,Gaming,Intel Core i7 7700HQ 2.8GHz,16GB,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1060,Gemini 5,1.6kg,14.0inch IPS Panel Full HD 1920x1080,32396612.0
535,Pulse,Notebook,Intel Core i7 6700HQ 2.6GHz,8GB,1TB HDD,Nvidia GeForce GTX 960M,Gemini 5,2.6kg,15.6inch IPS Panel Full HD 1920x1080,15401668.0
536,Eclipse,2 in 1 Convertible,Intel Core i5 8250U 1.6GHz,8GB,1TB HDD,Intel UHD Graphics 620,Gemini 5,1.55kg,13.3inch Full HD / Touchscreen 1920x1080,11289988.0
537,Pulse,,Intel Core i3 6006U 2.0GHz,4GB,1TB HDD,Intel HD Graphics 520,No OS,2.2kg,15.6inch Full HD 1920x1080,8034908.0
538,Vivid,Notebook,Intel Core i3 6006U 2GHz,,256GB SSD,AMD Radeon R5 520,Gemini 5,2.5kg,17.3inch IPS Panel Full HD 1920x1080,11975268.0
539,Vivid,Notebook,Intel Core i5 7200U 2.5GHz,8GB,500GB HDD,AMD FirePro W4190M ,Gemini 5,1.9kg,15.6inch Full HD 1920x1080,19770328.0
540,Eclipse,Notebook,Intel Core i7 7500U 2.7GHz,8GB,1TB HDD,AMD Radeon R7 M445,Penguin OS,2.83kg,17.3inch Full HD 1920x1080,14819180.0
541,Eclipse,Notebook,Intel Core i5 8250U 1.6GHz,8GB,1TB HDD,AMD Radeon 520,Penguin OS,2.2kg,15.6inch Full HD 1920x1080,11084404.0
542,Vivid,Notebook,Intel Core i5 8250U 1.6GHz,4GB,1TB HDD,Intel UHD Graphics 620,Gemini 5,2.04kg,15.6inch Touchscreen 1366x768,8933824.040000001
543,Eclipse,Ultrabook,,8GB,256GB SSD,Intel UHD Graphics 620,Gemini 5,1.42kg,13.3inch Full HD / Touchscreen 1920x1080,31554574.2
544,Traverse,Notebook,Intel Core i3 6100U 2.1GHz,4GB,128GB SSD,Intel HD Graphics 520,Gemini 5,2.1kg,15.6inch 1366x768,8531736.0
545,Cosmo,Ultrabook,Intel Core i7 7500U 2.7GHz,8GB,256GB SSD,Intel HD Graphics 620,Gemini 5,1.17kg,15.0inch Full HD 1920x1080,29107268.0
546,Eclipse,Notebook,Intel Core i3 6006U 2.0GHz,4GB,1TB HDD,AMD Radeon R5 M420X,Penguin OS,2.18kg,15.6inch 1366x768,7807052.399999999
547,Eclipse,Gaming,Intel Core i7 7700HQ 2.8GHz,8GB,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1050,Gemini 5,2.56kg,15.6inch Full HD 1920x1080,18168314.68
548,Pulse,2 in 1 Convertible,Intel Core i5 7200U 2.5GHz,8GB,256GB SSD,Intel HD Graphics 620,Gemini 5,1.3kg,13.3inch IPS Panel Full HD / Touchscreen 1920x1080,17714488.0
549,Cosmo,Ultrabook,,16GB,256GB SSD,Nvidia GeForce 940MX,Gemini 5,1.23kg,15.0inch Full HD 1920x1080,31677068.0
550,Quantum,Ultrabook,Intel Core i5 2.0GHz,8GB,256GB SSD,Intel Iris Graphics 540,Orange OS,1.37kg,13.3inch IPS Panel Retina Display 2560x1600,24310308.0
551,Stellar,Notebook,Intel Pentium Quad Core N4200 1.1GHz,4GB,1TB HDD,Intel HD Graphics 505,Penguin OS,2kg,15.6inch 1366x768,6835496.68
552,Pulse,Notebook,Intel Core i5 6200U 2.3GHz,4GB,128GB SSD,Intel HD Graphics 520,Gemini 5,2.1kg,15.6inch 1366x768,8446076.0
553,Pulse,2 in 1 Convertible,Intel Core i7 7700HQ 2.8GHz,8GB,256GB SSD,Intel HD Graphics 630,Gemini 5,2kg,15.6inch IPS Panel Full HD / Touchscreen 1920x1080,22254468.0
554,Eclipse,2 in 1 Convertible,Intel Core i3 7100U 2.4GHz,4GB,500GB HDD,Intel HD Graphics 620,Gemini 5,2.08kg,15.0inch Full HD / Touchscreen 1920x1080,8720188.0
555,Pulse,,Intel Core i5 7200U 2.5GHz,4GB,500GB HDD,Intel HD Graphics 620,Gemini 5,1.87kg,14.0inch Full HD 1920x1080,13448620.0
556,Stellar,Notebook,Intel Core i3 7100U 2.4GHz,4GB,1TB HDD,Intel HD Graphics 620,Gemini 5,2.37kg,15.6inch 1366x768,6835496.68
557,Stellar,Notebook,,8GB,256GB SSD,Nvidia GeForce 940MX,Gemini 5,1.7kg,15.6inch Full HD 1920x1080,19153576.0
558,Pulse,Notebook,Intel Celeron Quad Core N3710 1.6GHz,8GB,1TB HDD,Intel HD Graphics 405,No OS,2.2kg,15.6inch 1366x768,5636428.0
559,Eclipse,2 in 1 Convertible,Intel Core M 7Y30 1.0GHz,4GB,128GB SSD,Intel HD Graphics 615,Gemini 5,1.39kg,11.6inch Touchscreen 1366x768,10330596.0
560,Pulse,Notebook,Intel Core i5 7200U 2.5GHz,8GB,256GB SSD,Intel HD Graphics 620,Gemini 5,1.65kg,14.0inch Full HD 1920x1080,23042540.0
561,Eclipse,2 in 1 Convertible,Intel Core i7 7Y75 1.3GHz,16GB,512GB SSD,Intel HD Graphics 615,Gemini 5,1.22kg,13.3inch Quad HD+ / Touchscreen 3200x1800,32533668.0
562,Stellar,Gaming,Intel Core i7 6700HQ 2.6GHz,16GB,128GB SSD +  1TB HDD,Nvidia GeForce GTX 970M,Gemini 5,4.0kg,17.3inch IPS Panel Full HD 1920x1080,32550800.0
563,Vivid,Notebook,Intel Core i5 7200U 2.5GHz,4GB,256GB SSD,Intel HD Graphics 620,Gemini 5,1.95kg,14.0inch Full HD 1920x1080,20644060.0
564,Stellar,Gaming,Intel Core i7 7700HQ 2.8GHz,8GB,256GB SSD,,Gemini 5,2.5kg,15.6inch Full HD 1920x1080,17114868.0
565,Vivid,Ultrabook,Intel Core i7 8550U 1.8GHz,8GB,256GB SSD,Nvidia GeForce GTX 940MX,Gemini 5,1.83kg,15.6inch IPS Panel Full HD 1920x1080,11975268.0
566,Vivid,Workstation,Intel Core i7 7700HQ 2.8GHz,16GB,256GB SSD,Nvidia Quadro M2200,Gemini 5,2.6kg,15.6inch Full HD 1920x1080,41442308.0
567,Eclipse,Ultrabook,Intel Core i5 8250U 1.6GHz,8GB,128GB SSD +  1TB HDD,Nvidia GeForce 940MX,Gemini 5,1.9kg,15.6inch IPS Panel Full HD 1920x1080,17971468.0
568,Vivid,Ultrabook,Intel Core i7 7500U 2.7GHz,8GB,512GB SSD,Intel HD Graphics 620,Gemini 5,1.48kg,14.0inch Full HD 1920x1080,35788748.0
569,Quasar,Gaming,Intel Core i7 7700HQ 2.8GHz,16GB,512GB SSD,Nvidia GeForce GTX 1060,Gemini 5,1.95kg,14.0inch Full HD 1920x1080,49665668.0
570,Eclipse,2 in 1 Convertible,Intel Core i7 7500U 2.7GHz,16GB,512GB SSD,Nvidia GeForce 940MX,Gemini 5,2.77kg,17.3inch Full HD / Touchscreen 1920x1080,30820468.0
571,Stellar,Gaming,Intel Core i7 7700HQ 2.8GHz,8GB,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1050,Gemini 5,1.99kg,15.6inch Full HD 1920x1080,23128200.0
572,Eclipse,Notebook,Intel Core i5 6300U 2.4GHz,8GB,256GB SSD,Intel HD Graphics 520,Gemini 5,1.56kg,14.0inch Full HD 1920x1080,21055228.0
573,Pulse,Gaming,Intel Core i7 6820HK 2.7GHz,32GB,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1070,Gemini 5,4.6kg,17.3inch IPS Panel Full HD 1920x1080,45622516.0
574,Eclipse,Notebook,Intel Core i3 7100U 2.4GHz,6GB,1TB HDD,Intel HD Graphics 620,Gemini 5,2.3kg,15.6inch 1366x768,7863588.0
575,Eclipse,Notebook,Intel Core i5 7200U 2.5GHz,4GB,500GB HDD,AMD Radeon R5 M430,Gemini 5,2.25kg,15.6inch 1366x768,10262068.0
576,Vivid,Notebook,Intel Core i5 7200U 2.5GHz,4GB,1TB HDD,Intel HD Graphics 620,Gemini 5,1.86kg,15.6inch 1366x768,8372237.08
577,Stellar,Notebook,AMD A9-Series 9420 3GHz,4GB,1TB HDD,AMD Radeon R5 M420,Gemini 5,2.03kg,15.6inch 1366x768,6904196.0
578,Pulse,Notebook,,8GB,256GB SSD,Intel UHD Graphics 620,Gemini 5,2.05kg,15.6inch Full HD 1920x1080,12660548.0
579,Pulse,Notebook,Intel Xeon E3-1535M v6 3.1GHz,32GB,1TB SSD,Nvidia Quadro M2200M,Gemini 5,2.5kg,15.6inch IPS Panel 4K Ultra HD 3840x2160,83929668.0
580,Vivid,Notebook,Intel Core i7 7820HQ 2.9GHz,8GB,256GB SSD,Intel HD Graphics 630,Gemini 5,2.31kg,15.6inch Full HD 1920x1080,24447364.0
581,Pulse,2 in 1 Convertible,Intel Core i7 6500U 2.5GHz,4GB,128GB SSD,Intel HD Graphics 520,Gemini 5,1.8kg,14.0inch IPS Panel Full HD / Touchscreen 1920x1080,10930216.0
582,Pulse,2 in 1 Convertible,Intel Core i5 7200U 2.5GHz,8GB,256GB SSD,AMD Radeon R7 M460,Gemini 5,2.08kg,15.6inch Full HD / Touchscreen 1920x1080,16429588.0
583,Pulse,Notebook,Intel Core i3 6006U 2GHz,4GB,128GB SSD,Intel HD Graphics 520,No OS,1.85kg,15.6inch Full HD 1920x1080,6912762.0
584,Pulse,Ultrabook,Intel Core i7 6600U 2.6GHz,16GB,512GB SSD,Intel HD Graphics 520,Gemini 5,1.1kg,14.0inch IPS Panel Quad HD+ 2560x1440,35960068.0
585,Pulse,Ultrabook,Intel Core i7 7500U 2.7GHz,6GB,256GB SSD,Nvidia GeForce 920M,Gemini 5,1.54kg,15.6inch Full HD 1920x1080,14236692.0
586,Vivid,Notebook,,6GB,1TB HDD,AMD Radeon 530,Gemini 5,2.1kg,15.6inch Full HD 1920x1080,9062828.0
587,Stellar,2 in 1 Convertible,Intel Core i5 7200U 2.5GHz,8GB,256GB SSD,Intel HD Graphics 620,Gemini 5,1.27kg,13.3inch IPS Panel Full HD / Touchscreen 1920x1080,15898496.0
588,Eclipse,Notebook,Intel Core i7 7500U 2.7GHz,4GB,256GB SSD,AMD Radeon R5 M420,Gemini 5,2.18kg,15.6inch Full HD 1920x1080,12660548.0
589,Eclipse,,Intel Core i7 7700HQ 2.8GHz,32GB,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1070,Gemini 5,4.42kg,17.3inch IPS Panel Full HD 1920x1080,53948668.0
590,Vivid,Notebook,Intel Core i7 7600U 2.8GHz,8GB,1TB SSD,Intel HD Graphics 620,Gemini 5,1.48kg,14.0inch Full HD 1920x1080,29963868.0
591,Vivid,Notebook,AMD A6-Series 9220 2.5GHz,4GB,500GB HDD,AMD Radeon R4 Graphics,Gemini 5,1.86kg,15.6inch 1366x768,6835668.0
592,Pulse,Notebook,Intel Core i7 7500U 2.7GHz,6GB,128GB SSD +  1TB HDD,Nvidia GeForce 940MX,Gemini 5,2.8kg,17.3inch 1600x900,14716388.0
593,Pulse,2 in 1 Convertible,Intel Core i5 6260U 1.8GHz,8GB,256GB SSD,Intel HD Graphics 540,Gemini 5,1.3kg,13.3inch IPS Panel Quad HD+ / Touchscreen 3200x1800,20541268.0
594,Stellar,Netbook,Intel Celeron Dual Core N3350 1.1GHz,4GB,64GB Flash Storage,Intel HD Graphics 500,Gemini 5 S,1.2kg,11.6inch 1366x768,5824880.0
595,Eclipse,,Intel Core i5 7200U 2.5GHz,8GB,256GB SSD,AMD Radeon R5 M420,Gemini 5,2.18kg,15.6inch Full HD 1920x1080,13531024.92
596,Pulse,Gaming,Intel Core i7 7700HQ 2.8GHz,8GB,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1060,No OS,2.4kg,15.6inch IPS Panel Full HD 1920x1080,19684668.0
597,Eclipse,Notebook,Intel Core i5 7200U 2.5GHz,8GB,1TB HDD,Intel HD Graphics 620,Gemini 5,2.18kg,15.6inch Full HD 1920x1080,14322352.0
598,Galaxy,Gaming,Intel Core i7 7700HQ 2.8GHz,8GB,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1060,Gemini 5,2.7kg,17.3inch Full HD 1920x1080,25471343.64
599,Vivid,Notebook,Intel Core i5 6200U 2.3GHz,4GB,500GB HDD,Intel HD Graphics 520,Gemini 5,1.54kg,14.0inch Full HD 1920x1080,17132000.0
600,Eclipse,,,8GB,256GB SSD,Intel UHD Graphics 620,Gemini 5,2.67kg,15.6inch Full HD / Touchscreen 1920x1080,13688468.0
601,Stellar,Gaming,Intel Core i7 6700HQ 2.6GHz,16GB,128GB SSD +  1TB HDD,Nvidia GeForce GTX 960M,Gemini 5,2.59kg,15.6inch IPS Panel Full HD 1920x1080,22939748.0
602,Pulse,Netbook,Intel Core i7 6500U 2.50GHz,16GB,512GB SSD,Intel HD Graphics 520,Gemini 5,1.3kg,12.5inch IPS Panel Full HD / Touchscreen 1920x1080,28267800.0
603,Stellar,Gaming,Intel Core i7 7700HQ 2.8GHz,16GB,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1060,Gemini 5,2.1kg,15.6inch Full HD 1920x1080,32533668.0
604,Eclipse,Notebook,Intel Core i3 6006U 2GHz,4GB,128GB SSD,Intel HD Graphics 520,Gemini 5,1.6kg,14.0inch Full HD 1920x1080,12606924.84
